Customer_Branch_Code,longitude,latitude,Transaction_Count,Region
1,-0.20023259999999998,5.5596772,98841,Greater Accra Region
2,-0.1063125,5.6390625,2176,Greater Accra Region
3,-0.2069211,5.5416724,3643,Greater Accra Region
4,-0.1818553,5.5608191,19582,Greater Accra Region
5,-0.252688,5.5751054,5038,Greater Accra Region
6,0.0,0.0,4214,Greater Accra Region
7,-0.215438,5.546563,5907,Greater Accra Region
8,-0.2076875,5.5504375,5285,Greater Accra Region
9,-0.0019599,5.6381339,286,Greater Accra Region
10,-0.208188,5.547063,8096,Greater Accra Region
11,-0.1643935,5.6260155,2006,Greater Accra Region
12,-0.152983,5.6415723,11093,Greater Accra Region
13,-0.264938,5.550063,1785,Greater Accra Region
14,-0.2087943,5.5709421,4020,Greater Accra Region
15,-0.2044375,5.6658125,8233,Greater Accra Region
16,-0.0158598,5.6624535,4556,Greater Accra Region
17,-0.2091693,5.5420417,2186,Greater Accra Region
18,-0.1674375,5.7141875,16742,Greater Accra Region
19,-0.1680996,5.6592336,17332,Greater Accra Region
20,-0.1479662,5.5660998,37476,Greater Accra Region
21,-0.22330609999999998,5.5986742,19079,Greater Accra Region
22,-0.204551,5.6107091,5264,Greater Accra Region
24,-0.2122503,5.5579016,1827,Greater Accra Region
25,-0.2419589,5.6347332,8039,Greater Accra Region
26,-0.2540625,5.6048125,20597,Greater Accra Region
27,-0.0839356,5.5966426,36906,Greater Accra Region
28,-0.031188,5.687188,7983,Greater Accra Region
29,-0.1829213,5.6094866,12974,Greater Accra Region
30,-0.1954375,5.5923125,4316,Greater Accra Region
31,-0.212083,5.5775707,5047,Greater Accra Region
32,-0.2353514,5.5645798,7136,Greater Accra Region
33,-0.2353514,5.5645798,16863,Greater Accra Region
34,-0.1696872,5.67864,3253,Greater Accra Region
35,-0.2076875,5.5504375,5865,Greater Accra Region
36,-0.264938,5.550063,12624,Greater Accra Region
38,-0.24656249999999996,5.6059375,19220,Greater Accra Region
42,-0.0337629,5.6871933,3412,Greater Accra Region
44,-0.43493799999999994,5.548813,7290,Central Region
45,-0.2393125,5.6414375,9017,Greater Accra Region
46,-0.2369222,5.5688204,1924,Greater Accra Region
47,-0.1730429,5.6764567,9959,Greater Accra Region
48,-0.1766972,5.5707749,5506,Greater Accra Region
49,-0.0865105,5.5966479,9167,Greater Accra Region
50,0.0278291,5.7309257,3929,Greater Accra Region
51,-0.3479051,5.5470848,10723,Greater Accra Region
52,-0.1706875,5.6384375,3963,Greater Accra Region
53,-0.1352941,5.6833157,3029,Greater Accra Region
54,-0.360722,5.7341454,1931,Greater Accra Region
55,-0.2942507,5.6998479,5352,Greater Accra Region
56,-0.1763125,5.7423125,1905,Greater Accra Region
83,-0.2137618,5.5631787,190597,Greater Accra Region
84,-0.2137618,5.5631787,134416,Greater Accra Region
85,-0.2087943,5.5709421,440,Greater Accra Region
90,-2.5108252,9.9961795,2041,Upper West Region
123,-0.23737850000000002,5.5334497,21281,Greater Accra Region
191,-0.47383309999999995,7.1526636,4334,Volta Region
201,-0.1733126,6.5518193,6284,Eastern Region
203,-0.1555555,6.0943033,14502,Eastern Region
301,-1.2831552,5.6989567,10868,Central Region
302,-1.2465725,5.1053181,3299,Central Region
303,-1.2463125,5.1054375,3605,Central Region
401,-1.292065,6.703744500000001,3270,Ashanti Region
402,-1.6321198000000001,6.7287881,3426,Ashanti Region
403,-1.7609949,4.8930036,3353,Western Region
405,-1.6322500000000002,6.728625,11133,Ashanti Region
406,-1.7554375,4.8931875,2382,Western Region
407,-1.760625,4.8934375,850,Western Region
408,-2.3453125,6.0804375,453,Western North Region
409,0.0,0.0,4867,Western Region
501,0.4702785,6.6109262,4555,Volta Region
601,-1.6059657,6.6838944,9531,Ashanti Region
602,-1.6306459999999998,6.70275,5048,Ashanti Region
603,-1.6386875,6.6713125,440,Ashanti Region
604,-1.5917382,6.656053399999999,14234,Ashanti Region
605,-1.618563,6.655563,19985,Ashanti Region
606,-1.6237477,6.6911893,4588,Ashanti Region
607,-1.6220049,6.6995325,9621,Ashanti Region
608,-1.638563,6.671187999999999,20476,Ashanti Region
609,0.0,0.0,0,Ashanti Region
610,-1.6386875,6.6713125,12269,Ashanti Region
611,-1.6230624999999999,6.6948125,7178,Ashanti Region
612,-1.6321198,6.7287881,7350,Ashanti Region
613,-1.5758125,6.6825625,4262,Ashanti Region
614,-1.6223841,6.6956342,4804,Ashanti Region
616,0.0,0.0,778,Ashanti Region
617,-1.6115961,6.7441902,1915,Ashanti Region
701,-2.3294376,7.3337476,7731,Bono Region
702,-2.5844375,7.450312500000001,12736,Bono Region
703,-1.9369056,7.5930162,6607,Bono East Region
704,-2.3295625,7.3335625,6883,Bono Region
705,-2.9994375,7.971312499999999,2275,Upper West Region
707,-2.4831552,6.8887881,833,Ahafo Region
801,-0.8420734,9.4007683,9515,Northern Region
901,-0.8410125,10.7854375,16331,Upper East Region
